information,interaction_atlas_role,availability_semantics
DRFP / whole-reaction chemistry,universal/broad reaction coordinate,raw reaction path
substrate/product Morgan + signed change,complementary broad reaction coordinates,available from parseable chemistry
atom-mapped reaction-centre changes,local reaction-centre chart,chart absent when unavailable
ESM-C,universal/broad enzyme coordinate,raw sequence path
EnzGFM,complementary enzyme/family chart coordinate,optional chart
CLIPZyme,structure-aware local chart,zero chart mass when unsupported
structure / pocket state,structure/pocket local coordinates,missing stays missing
catalytic motifs / cofactors,mechanistic/family chart coordinates,applicability explicit
known enzyme-reaction pairs,supervision for local forms and chart overlap,frozen per reproduction claim
verified external wet-lab observations,finite-rank empirical operator in applicable charts,train-free application update
sequence family / TPS state,chart-applicability signal and family coordinates,not a candidate-universe definition
pair-specific assay context,observation coordinate plus evidence provenance,never silently generalized
